index,header,contents,type,page_url,is_howto,char_count,word_count,tld
217,Architecture,"Here is a high-level architecture diagram of Metaflow:
 
 ![](/assets/Untitled_presentation.png)
 
 Below, we will describe the components in detail. To highlight the time-dimension which
 is missing from the diagram, we group the descriptions by the following phases in the
 development lifecycle:
 
 1. Development-time, i.e. when the code gets written.
 2. Runtime, i.e. when the code gets run.
 3. Result-time, i.e. when the results of the run get used.
 
 Every component includes links to source files where the functionality is implemented.",H2,https://docs.metaflow.org/internals/technical-overview#architecture,False,547,82,https://docs.metaflow.org
218,Development-Time Components,"The core development-time concept in Metaflow is a _flow_. It represents the business
 logic of what needs to be computed.
 
 How to intertwine the business logic with the framework in the most **usable** manner is
 a central design concern of Metaflow. We want to encourage the user to structure the
 code in a way that enables **reproducibility** and **scalability**.
 
 In contrast, we would like to minimize concerns related to production-readiness during
 development time. Optimally, the user can write idiomatic Python code focusing on the
 logic itself and the guard rails of the framework will automatically make the code
 production-ready.",H2,https://docs.metaflow.org/internals/technical-overview#development-time-components,False,649,101,https://docs.metaflow.org
219,**Flow**,"A flow is the smallest unit of computation that can be scheduled for execution.
 Typically, a flow defines a workflow that pulls data from an external source as input,
 processes it in several steps, and produces output data.
 
 User implements a flow by subclassing `FlowSpec` and implementing steps as methods.
 Besides steps, a flow can define other attributes relevant for scheduling, such as
 parameters and data triggers.",H3,https://docs.metaflow.org/internals/technical-overview#flow,False,427,68,https://docs.metaflow.org
220,Graph,"Metaflow infers a directed (typically acyclic) graph based on the transitions between
 step functions.
 
 Metaflow requires the transitions to be defined so that the graph can be parsed from the
 source code of the flow statically. This makes it possible to translate the graph for
 execution by runtimes that support only statically defined graphs, such as Meson.",H3,https://docs.metaflow.org/internals/technical-overview#graph,False,364,58,https://docs.metaflow.org
221,Step,"A step is the smallest resumable unit of computation. It is implemented by the user as a
 method that is decorated with the `@step` decorator in a flow class.
 
 A step is [a checkpoint](https://en.wikipedia.org/wiki/Application_checkpointing).
 Metaflow takes a snapshot of the data produced by a step which in turn is used as input
 to the subsequent steps. Hence, if a step fails, it can be resumed without rerunning the
 preceding steps.
 
 Being able to resume execution is a powerful feature. It would be convenient to be able
 to resume execution at any arbitrary line of code. The main reason why checkpointing is
 done at the step level instead of line level is the overhead of saving state. The user
 is encouraged to keep the steps small but not so small that the overhead becomes
 noticeable.",H3,https://docs.metaflow.org/internals/technical-overview#step,False,804,136,https://docs.metaflow.org
222,Decorators,"The behavior of a step can be modified with decorators. Tags are the main mechanism for
 extending Metaflow. For instance, a decorator can catch exceptions, implement a timeout,
 or define resource requirements for a step.
 
 A step may have arbitrary many decorators, implemented as Python decorators.",H3,https://docs.metaflow.org/internals/technical-overview#decorators,False,302,47,https://docs.metaflow.org
223,Step Code,"Step code is the body of a step. It implements the actual business logic of flow.
 
 It is possible to implement various language bindings, e.g. R, for Metaflow so that only
 the language of the step code is changed while all the core functionality, implemented
 in Python, stays intact.
 
 All instance variables, e.g. `self.x`, used in the step code become _data artifacts_
 that are persisted automatically. Stack variables, e.g. `x`, are not persisted. This
 dichotomy allows the user to control the overhead of checkpointing by explicitly
 choosing between persistent vs. non-persistent variables in the step code.",H3,https://docs.metaflow.org/internals/technical-overview#step-code,False,619,98,https://docs.metaflow.org
224,Runtime Components,"The core runtime concept in Metaflow is a _run_, that is, an execution of a user-defined
 flow. A run happens when the user executes `python myflow.py run` on the command line.
 
 A key design decision of Metaflow is to make the framework runtime-agnostic. The same
 code should be runnable in various environments, such as on a laptop during development
 or on a **production-ready** workflow orchestrator during production.
 
 Similarly, we want to provide seamless **scalability** by allowing the same code run on
 a laptop in parallel over multiple processes or in the cloud over multiple batch jobs.",H2,https://docs.metaflow.org/internals/technical-overview#runtime-components,False,604,98,https://docs.metaflow.org
225,**Task**,"The runtime counterpart of a step is a _task_. In runtime, a normal step spawns one task
 for execution. A foreach split step may spawn multiple tasks which are identified by a
 unique _foreach stack_.",H3,https://docs.metaflow.org/internals/technical-overview#task,False,201,35,https://docs.metaflow.org
226,Code Package,"In order to be able to **reproduce** the results of a run, we need to snapshot the code
 that was run.
 
 Code package is an immutable snapshot of the relevant code in the working directory,
 stored in the datastore, at the time when the run was started. A convenient side effect
 of the snapshot is that it also works as a code distribution mechanism for runs that
 happen in the cloud.",H3,https://docs.metaflow.org/internals/technical-overview#code-package,False,387,72,https://docs.metaflow.org
227,**Environment**,"Unfortunately, just snapshotting the working directory of the flow code is not
 sufficient for reproducibility. The code often depends on external libraries which also
 need to be included in the snapshot.
 
 The concept of an _environment_ is closely related to code packages. The environment
 encapsulates both the flow code and its external dependencies, so that the exact
 execution environment can be reproduced on a remote system accurately.",H3,https://docs.metaflow.org/internals/technical-overview#environment,False,447,68,https://docs.metaflow.org
228,Runtime,"A run of a flow is executed by executing tasks defined by steps in a topological order.
 It is the job of a runtime to orchestrate this execution. A better name for ""runtime""
 might be a scheduler.
 
 For quick local iterations, Metaflow comes with a built-in runtime which executes tasks
 as separate processes. However, this is not intended as a production-grade scheduler.
 
 For production runs, one should use a runtime that supports retries, error reporting,
 logging, is highly available, scalable, and preferably comes with a user-friendly UI. At
 Netflix,
 [Meson](https://medium.com/netflix-techblog/meson-workflow-orchestration-for-netflix-recommendations-fc932625c1d9)
 is such a runtime. It is well-supported by Metaflow.
 
 A key feature of Metaflow is that it is agnostic of the runtime. The same code can be
 executed both with the local runtime and with production runtime, which enables a rapid
 development-deploy-debug cycle.",H3,https://docs.metaflow.org/internals/technical-overview#runtime,False,945,136,https://docs.metaflow.org
229,Datastore,"Metaflow requires an object store where both code snapshots and data artifacts can be
 persisted. This data store should be accessible by all environments where Metaflow code
 is executed. The AWS S3 is a perfect solution for this need. Secondarily, Metaflow
 supports using a local disk as a data store, which is mainly useful during the
 development of Metaflow itself.
 
 An important feature of Metaflow is that the data store is used as a content-addressed
 storage. Both code and data are identified by a hash of their contents, similar to Git,
 so equal copies of data are deduplicated automatically. Note that this deduplication is
 limited in scope however; data across different flows will not be deduplicated.",H3,https://docs.metaflow.org/internals/technical-overview#datastore,False,720,117,https://docs.metaflow.org
230,Metadata Provider,"A centralized Metadata Provider keeps track of runs. Strictly speaking, this
 functionality is not required by Metaflow, but it makes the system much more **usable.**
 The service also helps to make data artifacts and other metadata about runs more
 discoverable during result-time, as explained below.",H3,https://docs.metaflow.org/internals/technical-overview#metadata-provider,False,302,45,https://docs.metaflow.org
231,Result-time Components,"Flows are defined and run for their results. Metaflow supports a number of different
 ways to consume outputs of runs: Results can be written to Hive tables for consumption
 by downstream systems and dashboards, they can be accessed in a notebook for further
 analysis, or in a hosted web service (this last functionality is not yet available in
 Open Source).",H2,https://docs.metaflow.org/internals/technical-overview#result-time-components,False,360,60,https://docs.metaflow.org
232,Metaflow Client,"Metaflow provides a highly **usable** Python API to access results of previous runs,
 called `metaflow.client`. A typical way to use `metaflow.client` is to access data
 artifacts of past runs in a Jupyter notebook. It is extremely convenient to be able to
 examine the internal state of production runs or perform further ad-hoc analysis of the
 results in a notebook.",H3,https://docs.metaflow.org/internals/technical-overview#metaflow-client,False,369,59,https://docs.metaflow.org
233,Testing Philosophy,"Watch this talk for motivation: [Autonomous Testing and the Future of Software
 Development by Will Wilson](https://www.youtube.com/watch?v=fFSPwJFXVlw).",H1,https://docs.metaflow.org/internals/testing-philosophy#testing-philosophy,False,153,16,https://docs.metaflow.org
234,Metaflow Test Suite,"The integration test harness for the core Metaflow at `test/core`, generates and
 executes synthetic Metaflow flows, exercising all aspects of Metaflow. The test suite is
 executed using [tox](http://tox.readthedocs.io) as configured in `tox.ini`. You can run
 the tests by hand using `pytest` or `run_tests.py` as described below.
 
 What happens when you execute `python helloworld.py run`? The execution involves
 multiple layers of the Metaflow stack. The stack looks like following, starting from the
 most fundamental layer all the way to the user interface:
 
 1. Python interpreter \(`python2`, `python3`\)
 2. Metaflow core \(`task.py`, `runtime.py`, `datastore`, etc.\)
 3. Metaflow plugins \(`@timeout`, `@catch`, `metadata.py` etc.\)
 4. User-defined graph
 5. User-defined step functions
 6. User interface \(`cli.py`, `metaflow.client`\)
 
 We could write unit tests for functions in the layers 2, 3, and 6, which would capture
 some bugs. However, a much larger superset of bugs is caused by unintended interactions
 across the layers. For instance, exceptions caught by the `@catch` tag \(3\) inside a
 deeply nested foreach graph \(4\) might not be returned correctly in the client API
 \(6\) when using Python 3 \(1\).
 
 The integration test harness included in the `core` directory tries to surface bugs like
 this by generating test cases automatically using _specifications_ provided by the
 developer.",H2,https://docs.metaflow.org/internals/testing-philosophy#metaflow-test-suite,False,1424,207,https://docs.metaflow.org
235,Specifications,"The test harness allows you to customize behavior in four ways that correspond to the
 layers above:
 
 1. You define the execution environment, including environment variables, the version of
    the Python interpreter, and the type of datastore used as _contexts_ in
    `contexts.json` \(layers 1 and 2\).
 2. You define the step functions, the decorators used, and the expected results as
    `MetaflowTest` templates, stored in the `tests` directory \(layers 3 and 5\).
 3. You define various graphs that match the step functions as simple JSON descriptions
    of the graph structure, stored in the `graphs` directory \(layer 4\).
 4. You define various ways to check the results that correspond to the different user
    interfaces of Metaflow as `MetaflowCheck` classes, stored in the `metaflow_test`
    directory \(layer 6\). You can customize which checkers get used in which contexts in
    `context.json`.
 
 The test harness takes all `contexts`, `graphs`, `tests`, and `checkers` and generates a
 test flow for every combination of them, unless you explicitly set constraints on what
 combinations are allowed. The test flows are then executed, optionally in parallel, and
 results are collected and summarized.",H2,https://docs.metaflow.org/internals/testing-philosophy#specifications,False,1226,204,https://docs.metaflow.org
236,**Contexts**,"Contexts are defined in `contexts.json`. The file should be pretty self-explanatory.
 Most likely you do not need to edit the file unless you are adding tests for a new
 command-line argument.
 
 Note that some contexts have `disabled: true`. These contexts are not executed by
 default when tests are run by a CI system. You can enable them on the command line for
 local testing, as shown below.",H3,https://docs.metaflow.org/internals/testing-philosophy#contexts,False,397,68,https://docs.metaflow.org
237,**Tests**,"Take a look at `tests/basic_artifact.py`. This test verifies that artifacts defined in
 the first step are available in all steps downstream. You can use this simple test as a
 template for new tests.
 
 Your test class should derive from `MetaflowTest`. The class variable `PRIORITY` denotes
 how fundamental the exercised functionality is to Metaflow. The tests are executed in
 the ascending order of priority, to make sure that foundations are solid before
 proceeding to more sophisticated cases.
 
 The step functions are decorated with the `@steps` decorator. Note that in contrast to
 normal Metaflow flows, these functions can be applied to multiple steps in a graph. A
 core idea behind this test harness is to decouple graphs from step functions, so various
 combinations can be tested automatically. Hence, you need to provide step functions that
 can be applied to various step types.
 
 The `@steps` decorator takes two arguments. The first argument is an integer that
 defines the order of precedence between multiple `steps` functions, in case multiple
 step function templates match. A typical pattern is to provide a specific function for a
 specific step type, such as joins and give it a precedence of `0`. Then another
 catch-all can be defined with `@steps(2, ['all'])`. As the result, the special function
 is applied to joins and the catch-all function for all other steps.
 
 The second argument gives a list of _qualifiers_ specifying which types of steps this
 function can be applied to. There is a set of built-in qualifiers: `all`, `start`,
 `end`, `join`, `linear` which match to the corresponding step types. In addition to
 these built-in qualifiers, graphs can specify any custom qualifiers.
 
 By specifying `required=True` as a keyword argument to `@steps`, you can require that a
 certain step function needs to be used in combination with a graph to produce a valid
 test case. By creating a custom qualifier and setting `required=True` you can control
 how tests get matched to graphs.
 
 In general, it is beneficial to write test cases that do not specify overly restrictive
 qualifiers and `required=True`. This way you cast a wide net to catch bugs with many
 generated test cases. However, if the test is slow to execute and/or does not benefit
 from a large number of matching graphs, it is a good idea to make it more specific.",H3,https://docs.metaflow.org/internals/testing-philosophy#tests,False,2373,387,https://docs.metaflow.org
238,**Assertions**,"The test case is not very useful unless it verifies its results. There are two ways to
 assert that the test behaves as expected.
 
 You can use a function `assert_equals(expected, got)` inside step functions to confirm
 that data inside the step functions is valid. Secondly, you can define a method
 `check_results(self, flow, checker)` in your test class, which verifies the stored
 results after the flow has been executed successfully.
 
 Use
 
 ```text
 checker.assert_artifact(step_name, artifact_name, expected_value)
 ```
 
 to assert that steps contain the expected data artifacts.
 
 Take a look at existing test cases in the `tests` directory to get an idea how this
 works in practice.",H4,https://docs.metaflow.org/internals/testing-philosophy#assertions,False,698,109,https://docs.metaflow.org
239,**Graphs**,"Graphs are simple JSON representations of directed graphs. They list every step in a
 graph and transitions between them. Every step can have an optional list of custom
 qualifiers, as described above.
 
 You can take a look at the existing graphs in the `graphs` directory to get an idea of
 the syntax.",H3,https://docs.metaflow.org/internals/testing-philosophy#graphs,False,304,53,https://docs.metaflow.org
240,**Checkers**,"Currently, the test harness exercises two types of user interfaces: The command-line
 interface, defined in `cli_check.py`, and the Python API, defined in `mli_check.py`.
 
 Currently, you can use these checkers to assert values of data artifacts or log output.
 If you want to add tests for new types of functionality in the CLI and/or the Python
 API, you should add a new method in the `MetaflowCheck` base class and corresponding
 implementations in `mli_check.py` and `cli_check.py`. If certain functionality is only
 available in one of the interfaces, you can provide a stub implementation returning
 `True` in the other checker class.",H3,https://docs.metaflow.org/internals/testing-philosophy#checkers,False,642,99,https://docs.metaflow.org
241,Usage,"The test harness is executed by running `run_tests.py`. By default, it executes all
 valid combinations of contexts, tests, graphs, and checkers. This mode is suitable for
 automated tests run by a CI system.
 
 When testing locally, it is recommended to run the test suite as follows:
 
 ```text
 cd metaflow/test/core
 PYTHONPATH=`pwd`/../../ python run_tests.py --debug --contexts dev-local
 ```
 
 This uses only the `dev_local` context, which does not depend on any over-the-network
 communication like `--metadata=service` or `--datastore=s3`. The `--debug` flag makes
 the harness fail fast when the first test case fails. The default mode is to run all
 test cases and summarize all failures in the end.
 
 You can run a single test case as follows:
 
 ```text
 cd metaflow/test/core
 PYTHONPATH=`pwd`/../../ python run_tests.py --debug --contexts dev-local --graphs single-linear-step --tests BasicArtifactTest
 ```
 
 This chooses a single context, a single graph, and a single test. If you are developing
 a new test, this is the fastest way to test the test.",H2,https://docs.metaflow.org/internals/testing-philosophy#usage,False,1070,161,https://docs.metaflow.org
242,Coverage report,"The test harness uses the `coverage` package in Python to produce a test coverage
 report. By default, you can find a comprehensive test coverage report in the `coverage`
 directory after the test harness has finished.
 
 After you have developed a new feature in Metaflow, use the line-by-line coverage report
 to confirm that all lines related the new feature are touched by the tests.",H3,https://docs.metaflow.org/internals/testing-philosophy#coverage-report,False,387,64,https://docs.metaflow.org
243,Contributing to Metaflow,"First off, thanks for taking the time!
 
 If you are interested in contributing to Metaflow, we'd love to hear from you! Drop us a
 line in our [chatroom](http://chat.metaflow.org/).",H1,https://docs.metaflow.org/internals/contributing#contributing-to-metaflow,False,182,29,https://docs.metaflow.org
244,Contributing Code and Issues,"We are proud of our philosophy and human-centric development style, which means that we
 value thoughtfulness and a polished user experience more than the number of features or
 lines of code.
 
 When Metaflow was developed internally at Netflix, we spent a considerable amount of
 time, often months, to hone the design for features before we implemented them. We are
 not sure what’s the best way to facilitate the design process in the open yet - your
 ideas are welcome. We have outlined our current suggested way below -
 
 Please make sure there is an open issue discussing your contribution. Before opening a
 new issue, please check for [existing
 issues](https://github.com/Netflix/metaflow/issues?q=is%3Aissue). If you find an
 existing issue that matches closely with yours, please thumbs-up or comment on it, so we
 know that the issue is relevant to many people.
 
 If you hit a bug that is not covered by an existing issue, please open a new issue. If
 you are able to fix the bug by yourself with a few lines of code, we welcome your PR.
 However, if fixing the bug requires more effort, please wait for our response on the
 issue. We try to respond as quickly as possible.
 
 If you have a proposal for an enhancement or a new feature, please open an issue and
 engage with us on the issue before devoting significant time and resources to it. We
 care deeply about the ergonomics of Metaflow, and as such, for any new user-visible
 enhancement, please expect multiple design iterations.
 
 We will do our best to respond to and review your PR, and we hope you will stay engaged
 with us throughout the process.
 
 We'd appreciate [issue reports](https://github.com/Netflix/metaflow/issues) if you run
 into trouble using Metaflow.",H3,https://docs.metaflow.org/internals/contributing#contributing-code-and-issues,False,1747,292,https://docs.metaflow.org
245,Community,"Everyone is welcome to join us in our [chatroom](http://chat.metaflow.org/)!
 
 Please maintain appropriate, professional conduct while participating in our community.
 This includes all channels of communication. We take reports of harassment or
 unwelcoming behavior very seriously. To report such behavior, please contact us via
 [email](mailto:help@metaflow.org).",H3,https://docs.metaflow.org/internals/contributing#community,False,367,45,https://docs.metaflow.org
246,Accessing Secrets,"If your flow needs to access an external service (e.g. a database) that requires
 authentication, you need to supply credentials to the flow. If security wasn't
 a concern, you could easily achieve this using
 [Metaflow parameters](/metaflow/basics#how-to-define-parameters-for-flows). However,
 when it comes to credentials and other sensitive information, security is a top concern.
 
 The industry-standard best practice is to store credentials in a secrets
 manager, such as [AWS Secrets Manager](https://aws.amazon.com/secrets-manager/).
 Once secrets are managed by such a system, Metaflow provides a decorator, `@secrets`,
 which makes it easy to access them securely in a flow.
 
 For more background, see [the `@secrets` launch blog post](https://outerbounds.com/blog/metaflow-secrets/).
 Also, take a look at [the API docs for `@secrets`](/api/step-decorators/secrets).
 
 :::info
 
 Currently, `@secrets` supports only AWS Secrets Manager. Contact us on
 [Metaflow support Slack](http://chat.metaflow.org) if you are interested in
 using another secrets manager.
 
 :::",H1,https://docs.metaflow.org/scaling/secrets#accessing-secrets,False,1080,140,https://docs.metaflow.org
247,Basic usage,"This video gives a one-minute overview of how to store a secret and access it in
 Metaflow (no sound):
 
 import ReactPlayer from 'react-player'
 
 <ReactPlayer controls url=""https://www.youtube.com/watch?v=tGRc8tWTzoQ"" />
 <br/>
 
 The secrets manager stores secrets as a set of key-value pairs that are
 identified by a name. Given a name, the `@secrets` decorator fetches the
 key-value pairs - assuming your IAM user is allowed to read the secret - and
 exposes them through environment variables.
 
 Here is the simple example featured in the video:
 
 ```python
 from metaflow import FlowSpec, step, secrets
 import os
 
 class SecretFlow(FlowSpec):
 
     @secrets(sources=['metaflow-example-password'])
     @step
     def start(self):
         print(""Here's the password:"", os.environ['password'])
         self.next(self.end)
 
     @step
     def end(self):
         pass
 
 if __name__ == '__main__':
     SecretFlow()
 ```
 
 In this case, `metaflow-example-password` is the name of the secret which
 contains a key `password`. The `sources` attribute, which defines the secret
 sources, could contain multiple names, in which case the union of all secret
 sets is exposed through environment variables.",H2,https://docs.metaflow.org/scaling/secrets#basic-usage,False,1216,211,https://docs.metaflow.org
248,Configuring a secrets backend,"To use `@secrets`, you need to inform Metaflow which secrets manager you want to
 use. Currently, the choice is easy since the only supported backend is AWS
 Secrets Manager.
 
 Make sure your Metaflow configuration contains the following line:
 
 ```json
 ""METAFLOW_DEFAULT_SECRETS_BACKEND_TYPE"": ""aws-secrets-manager""
 ```",H3,https://docs.metaflow.org/scaling/secrets#configuring-a-secrets-backend,False,324,44,https://docs.metaflow.org
249,Defining secrets on the command line,"Note that you can define `@secrets` on the command line using the `--with`
 option like any other decorator. This comes especially handy when moving
 between prototype and production: For instance, you can access a different
 database during development and production.
 
 Consider this example that connects to a Postgres database:
 
 ```python
 from metaflow import FlowSpec, step, secrets
 import os
 from psycopg import connect
 
 class DBFlow(FlowSpec):
 
     @step
     def start(self):
         with connect(user=os.environ['DB_USER'],  
                      password=os.environ['DB_PASSWORD'],
                      dbname=os.environ['DB_NAME'],
                      host=os.environ['DB_HOST']) as conn:
 
             with conn.cursor() as cur:
                 cur.execute(""SELECT * FROM data"")
                 print(cur.fetchall())
 
         self.next(self.end)
 
     @step
     def end(self):
         pass
 
 if __name__ == '__main__':
     DBFlow()
 ```
 
 During development, you can run the flow locally, maybe reading credentials to a
 local database from environment variables - no need to use a secrets manager
 during early prototyping.
 
 To read data from a test database, you can fetch credentials from a secrets
 manager by running the flow like this:
 
 ```bash
 python dbflow.py
    –with 'secrets:sources=[“test-db-credentials”]'
    run
 ```
 
 And you can [deploy to production](/production/introduction) using a production
 database like this:
 
 ```bash
 python dbflow.py
   –with 'secrets:sources=[""prod-db-credentials”]'
   argo-workflows create
 ```",H3,https://docs.metaflow.org/scaling/secrets#defining-secrets-on-the-command-line,False,1589,347,https://docs.metaflow.org
250,Advanced topics,"The following topics come up occasionally when running flows in serious
 production environments.",H2,https://docs.metaflow.org/scaling/secrets#advanced-topics,False,97,13,https://docs.metaflow.org
251,Controlling access to secrets,"A major benefit of using a secrets manager is that you can control closely who
 gets to access which secrets. In the case of AWS Secrets Manager, access
 control is accomplished through IAM policies. For more details, [consult the
 section about access control in the AWS Secrets Manager
 documentation](https://docs.aws.amazon.com/secretsmanager/latest/userguide/auth-and-access.html).
 
 For instance, you can set up IAM policies so that only a test database is
 accessible to users directly, while production database can be only accessed
 by [tasks running on a production scheduler](/production/introduction).",H3,https://docs.metaflow.org/scaling/secrets#controlling-access-to-secrets,False,614,83,https://docs.metaflow.org
252,Using an alternative role,"By default, `@secrets` accesses secrets using the default IAM role available in
 the execution environment. For local runs, this is typically the role attached
 to the IAM user.
 
 If the default role doesn't have access to the specified secrets, you can define
 an alternative role through the `role` attribute:
 
 ```python
 @secrets(sources=['metaflow-example-password'],
          role='arn:aws:iam::123456789012:role/SecretsAccess')
 ```
 
 The default role needs to be able to assume the specified `role` for this
 to work.",H3,https://docs.metaflow.org/scaling/secrets#using-an-alternative-role,False,529,81,https://docs.metaflow.org
253,Accessing secrets from a non-default location,"AWS Secrets Manager is an account- and region-specific service. By default, when
 you specify a secret name in the `sources` list, `@secrets` assumes that the
 name is available in the current AWS account, in the current default region.
 
 If this is not the case, you can specify a full secrets ARN (available on the
 AWS Secrets Manager console) as a source:
 
 ```python
 @secrets(sources=['arn:aws:secretsmanager:us-west-2:001234556000:secret:some-secret'])
 ```",H3,https://docs.metaflow.org/scaling/secrets#accessing-secrets-from-a-non-default-location,False,466,66,https://docs.metaflow.org
254,Dealing with Failures,"Failures are a natural, expected part of data science workflows. Here are some typical
 reasons why you can expect your workflow to fail:
 
 1. **Misbehaving code:** no code is perfect. Your code may fail to handle edge cases or
    libraries behave differently than what you expected.
 2. **Unanticipated issues with data:** data is harder than science. Data is how Metaflow
    workflows interact with the chaotic, high entropy, outside world. It is practically
    impossible to anticipate all possible ways the input data can be broken.
 3. **Platform issues:** the best infrastructure is invisible. Unfortunately, every now
    and then platforms that Metaflow relies on, or Metaflow itself, make their existence
    painfully obvious by failing in creative ways.
 
 Metaflow provides straightforward tools for you to handle all these scenarios. If you
 are in a hurry, see [a quick summary of the tools](failures.md#summary).",H1,https://docs.metaflow.org/scaling/failures#dealing-with-failures,False,931,156,https://docs.metaflow.org
255,Retrying Tasks with the `retry` Decorator,"Retrying a failed task is the simplest way to try to handle errors. It is a particularly
 effective strategy with platform issues which are typically transient in nature.
 
 You can enable retries for a step simply by adding `retry` decorator in the step, like
 here:
 
 ```python
 from metaflow import FlowSpec, step, retry
 
 class RetryFlow(FlowSpec):
 
     @retry
     @step
     def start(self):
         import time
         if int(time.time()) % 2 == 0:
             raise Exception(""Bad luck!"")
         else:
             print(""Lucky you!"")
         self.next(self.end)
 
     @step
     def end(self):
         print(""Phew!"")
 
 if __name__ == '__main__':
     RetryFlow()
 ```
 
 When you run this flow you will see that sometimes it succeeds without a hitch, but
 sometimes the `start` step raises an exception and needs to be retried. By default,
 `retry` retries the step three times. Thanks to `retry`, this workflow will almost
 always succeed.
 
 It is recommended that you use `retry` every time you [run tasks
 remotely](/scaling/remote-tasks/introduction). Instead of annotating every step with a
 retry decorator, you can also automatically add a retry decorator to all steps that do
 not have one as follows:
 
 ```python
 python RetryFlow.py run --with retry
 ```",H2,https://docs.metaflow.org/scaling/failures#retrying-tasks-with-the-retry-decorator,False,1288,272,https://docs.metaflow.org
256,How to Prevent Retries,"If retries are such a good idea, why not enable them by default for all steps? First,
 retries only help with transient errors, like sporadic platform issues. If the input
 data or your code is broken, retrying will not help anything. Secondly, not all steps
 can be retried safely.
 
 Imagine a hypothetical step like this:
 
 ```python
 @step
 def withdraw_money_from_account(self):
     requests.post('bank.com/account/123/withdraw', data={'amount': 1000})
 ```
 
 If you run this code with:
 
 ```bash
 python MoneyFlow.py run --with retry
 ```
 
 you may end up withdrawing up to $4000 instead of the intended $1000. To make sure no
 one will accidentally retry a step with _destructive side effects_ like this, you should
 add `times=0` in the code:
 
 ```python
 @retry(times=0)
 @step
 def withdraw_money_from_account(self):
     requests.post('bank.com/account/123/withdraw', data={'amount': 1000})
 ```
 
 Now the code can be safely rerun, even using `--with retry`. All other steps will be
 retried as usual.
 
 Most data science workflows do not have to worry about this. As long as your step only
 reads and writes Metaflow artifacts and/or performs only read-only operations with
 external systems \(e.g. performs only `SELECT` queries, no `INSERT`s etc.\), your step
 is [idempotent](https://en.wikipedia.org/wiki/Idempotence#Computer_science_meaning) and
 can be retried without concern.",H3,https://docs.metaflow.org/scaling/failures#how-to-prevent-retries,False,1403,204,https://docs.metaflow.org
257,Maximizing Safety,"By default, `retry` will retry the step for three times before giving up. It waits for 2
 minutes between retries for [remote tasks](/scaling/remote-tasks/introduction). This
 means that if your code fails fast, any transient platform issues need to get resolved
 in less than 10 minutes or the whole run will fail. 10 minutes is typically more than
 enough, but sometimes you want both a belt and suspenders.
 
 If you have a sensitive production workflow which should not fail easily, there are four
 things you can do:
 
 1. You can increase the number of retries to `times=4`, which is the maximum number of
    retries currently.
 2. You can make the time between retries arbitrarily long, e.g. `times=4,
    minutes_between_retries=20.` This will give the task over an hour to succeed.
 3. You can use `catch`, described below, as a way to continue even after all retries
    have failed.
 4. You can use `timeout`, also described below, to make sure your code will not get
    stuck.
 
 You can use any combination of these four techniques, or all of them together, to build
 rock-solid workflows.",H3,https://docs.metaflow.org/scaling/failures#maximizing-safety,False,1104,194,https://docs.metaflow.org
258,Results of Retries,"If the same code is executed multiple times by `retry`, are there going to be duplicate
 artifacts? No, Metaflow manages retries so that only artifacts from the last retry are
 visible. If you use [the Client API ](/metaflow/client.md)to inspect results, you don't
 have to do anything special to deal with retries that may have happened. Each task will
 have only one set of results. Correspondingly, the logs returned by `task` show the
 output of the last attempt only.
 
 If you want to know if a task was retried, you can retrieve retry timestamps from `Task`
 metadata:
 
 ```python
 from metaflow import Run, namespace
 
 namespace(None)
 task = Run('RetryFlow/10')['start'].task
 attempts = [m for m in task.metadata if m.type == 'attempt']
 ```",H3,https://docs.metaflow.org/scaling/failures#results-of-retries,False,753,121,https://docs.metaflow.org
259,Catching Exceptions with the `catch` Decorator,"As mentioned above, `retry` is an appropriate tool for dealing with transient issues.
 What about issues that are not transient? Metaflow has another decorator, `catch` that
 catches any exceptions that occur during the step and then continues execution of
 subsequent steps.
 
 The main upside of `catch` is that it can make your workflows extremely robust: it will
 handle all error scenarios from faulty code and faulty data to platform issues. The main
 downside is that your code needs to be modified so that it can tolerate faulty steps.
 
 Let's consider issues caused by your code versus everything surrounding it separately.",H2,https://docs.metaflow.org/scaling/failures#catching-exceptions-with-the-catch-decorator,False,633,102,https://docs.metaflow.org
